Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene:AT1G01010	-	1	+	3631	5899	19.340048	7.077159	12.702076
gene:AT1G03987	-	1	+	11101	11372	1.176471	0.430509	0.772678
gene:AT1G01030	-	1	-	11649	13714	4.988451	1.831010	3.286295
gene:AT1G01020	-	1	-	6788	9130	24.144497	10.870401	19.510181
gene:AT1G01060	-	1	-	33365	37871	11.093541	5.159021	9.259404
gene:AT1G01070	-	1	-	38444	41017	13.519388	5.605751	10.061194
gene:AT1G01040	-	1	+	23121	31227	31.612055	11.584213	20.791332
gene:AT1G03993	-	1	-	23312	24099	0.000000	0.000000	0.000000
gene:AT1G01046	-	1	+	28500	28706	21.236715	7.771212	13.947762
gene:AT1G01050	-	1	-	31170	33171	168.410706	72.228844	129.636230
gene:AT1G03997	-	1	+	32727	33009	0.625442	0.228870	0.410775
gene:AT1G01080	-	1	-	44970	47059	109.155869	41.875751	75.158546
gene:AT1G01090	-	1	-	47234	49304	272.746826	99.807030	179.133514
gene:AT1G01110	-	1	+	51953	54737	7.062727	2.775953	4.982277
gene:AT1G01100	-	1	-	49909	51210	241.235977	98.359871	176.536179
gene:AT1G01120	-	1	-	57164	59215	11.805555	4.320041	7.753603
gene:AT1G01130	-	1	-	61905	63811	9.669333	3.538327	6.350585
gene:AT1G01140	-	1	-	64166	67774	88.368004	32.733368	58.749802
gene:AT1G01180	-	1	+	75390	76845	17.052198	6.239960	11.199471
gene:AT1G01160	-	1	+	72339	74096	56.835934	22.819910	40.957146
gene:AT1G04007	-	1	-	72646	73108	15.318854	5.605672	10.061053
gene:AT1G01170	-	1	-	73931	74737	266.270477	97.914093	175.736115
gene:AT1G04013	-	1	+	74435	74683	15.087360	5.520961	9.909014
gene:AT1G01190	-	1	-	82984	84946	10.571673	4.028022	7.229489
gene:AT1G01200	-	1	-	86486	88409	4.637945	1.697177	3.046090
gene:AT1G01210	-	1	+	88622	90502	17.568455	9.847044	17.673462
gene:AT1G04017	-	1	-	90169	90401	0.000000	0.000000	0.000000
gene:AT1G01220	-	1	+	91342	95681	32.136765	12.763333	22.907616
gene:AT1G04023	-	1	-	91356	91685	0.036378	0.013312	0.023892
gene:AT1G01225	-	1	+	95935	97407	3.148561	1.152162	2.067899
gene:AT1G01230	-	1	+	97412	99240	87.599312	32.055466	57.533112
gene:AT1G02190	-	1	+	415074	418027	0.000000	0.000000	0.000000
gene:AT1G04093	-	1	+	424666	425164	0.318637	0.116600	0.209273
gene:AT1G02205	-	1	+	418416	422579	3.889786	1.718507	3.084375
gene:AT1G02250	-	1	-	437860	439559	0.483051	0.176764	0.317256
gene:AT1G02230	-	1	-	434965	436922	2.784819	1.019057	1.829002
gene:AT1G02220	-	1	-	428650	430720	27.264151	9.976849	17.906435
gene:AT1G02260	-	1	-	440200	442972	5.565723	2.059586	3.696542
gene:AT1G02270	-	1	-	443118	446296	54.660011	21.049778	37.780113
gene:AT1G02280	-	1	-	448423	450426	127.507828	46.659302	83.744057
gene:AT1G02290	-	1	-	450461	452743	27.028297	9.890542	17.751534
gene:AT1G02340	-	1	-	465616	467880	5.726675	2.268208	4.070976
gene:AT1G02350	-	1	+	469818	470693	13.695036	5.011464	8.994569
gene:AT1G02360	-	1	-	471883	473336	23.995361	9.449837	16.960556
gene:AT1G02370	-	1	+	474373	476612	8.097180	2.963024	5.318033
gene:AT1G02380	-	1	+	476945	479112	4.136674	1.513745	2.716867
gene:AT1G02390	-	1	+	480650	483373	1.844744	0.675052	1.211583
gene:AT1G02405	-	1	-	489874	490627	0.559682	0.204806	0.367586
gene:AT1G02400	-	1	+	486800	489651	9.602539	3.718592	6.674125
gene:AT1G02300	-	1	+	453107	455519	70.130516	25.663061	46.060032
gene:AT1G02305	-	1	+	455688	458164	187.627472	68.659058	123.229195
gene:AT1G04097	-	1	-	455880	456198	0.161598	0.059134	0.106134
gene:AT1G02310	-	1	-	458133	460831	4.480395	1.780279	3.195243
gene:AT1G04103	-	1	+	459122	461921	0.000000	0.000000	0.000000
gene:AT1G02320	-	1	+	461828	461974	0.000000	0.000000	0.000000
gene:AT1G02330	-	1	-	461946	463618	65.259010	23.880417	42.860542
gene:AT1G02335	-	1	-	463754	464981	22.606062	8.272301	14.847116
gene:AT1G02450	-	1	-	497917	498539	1.380417	0.505140	0.906625
gene:AT1G02410	-	1	+	490860	492979	49.076595	21.094944	37.861179
gene:AT1G02420	-	1	+	493639	495158	3.713037	1.358722	2.438633
gene:AT1G04117	-	1	-	494008	495548	6.400515	2.342159	4.203704
gene:AT1G02430	-	1	-	495050	496332	2.535998	0.944577	1.695325
gene:AT1G04123	-	1	+	495887	496190	0.000000	0.000000	0.000000
gene:AT1G02440	-	1	-	496372	497555	0.474790	0.218785	0.392676
gene:AT1G02460	-	1	-	504463	507268	5.298220	1.938793	3.479743
gene:AT1G02490	-	1	+	516569	516866	0.023490	0.008596	0.015428
gene:AT1G02470	-	1	-	511765	513721	6.666172	2.563622	4.601186
gene:AT1G02475	-	1	-	513699	515422	195.807968	71.652573	128.601944
gene:AT1G02500	-	1	+	518091	520495	41.701885	15.286281	27.435797
gene:AT1G02520	-	1	+	523536	529069	0.569949	0.228984	0.410980
gene:AT1G02530	-	1	+	529679	534677	0.000000	0.000000	0.000000
gene:AT1G02570	-	1	+	541236	542245	1.189109	0.435134	0.780978
gene:AT1G04127	-	1	-	551289	551529	0.742739	0.271793	0.487813
gene:AT1G02580	-	1	+	544733	549202	0.188484	0.071123	0.127652
gene:AT1G02610	-	1	-	553019	556152	7.620502	3.434960	6.165063
gene:AT1G02630	-	1	-	560610	562598	0.703309	0.257364	0.461916
gene:AT1G02620	-	1	+	557092	558774	4.475054	1.637569	2.939107
gene:AT1G04133	-	1	-	558071	558492	0.000000	0.000000	0.000000
gene:AT1G02650	-	1	+	568558	570554	1.663883	0.639580	1.147917
gene:AT1G02640	-	1	+	564018	567771	13.432023	4.915219	8.821828
gene:AT1G02660	-	1	-	571826	575085	12.107671	4.430594	7.952026
gene:AT1G02560	-	1	+	537740	540127	541.628357	198.199615	355.728424
gene:AT1G02670	-	1	+	575922	580532	2.216007	1.074713	1.928893
gene:AT1G02680	-	1	+	580625	582310	28.506063	10.431305	18.722094
gene:AT1G02700	-	1	+	588003	589480	0.764012	0.279577	0.501785
gene:AT1G02705	-	1	+	589584	590406	3.321596	1.215481	2.181544
gene:AT1G02710	-	1	-	589706	589996	0.000000	0.000000	0.000000
gene:AT1G02690	-	1	+	584134	587327	14.724241	5.395529	9.683889
gene:AT1G02720	-	1	+	591682	594264	4.007356	1.937819	3.477996
gene:AT1G02730	-	1	-	594502	598657	8.259363	3.022372	5.424550
gene:AT1G02740	-	1	-	599330	602199	25.423052	9.303130	16.697247
gene:AT1G02750	-	1	+	602489	604387	34.563915	12.648072	22.700745
gene:AT1G02800	-	1	-	613197	616231	4.467087	1.634654	2.933875
gene:AT1G02780	-	1	-	607799	609534	102.910728	37.658417	67.589279
gene:AT1G02810	-	1	+	618061	620502	8.539868	3.125018	5.608779
gene:AT1G02813	-	1	+	620678	621329	0.323620	0.118423	0.212546
gene:AT1G02816	-	1	+	621453	623054	20.868914	7.636621	13.706199
gene:AT1G02830	-	1	-	625084	625608	0.000000	0.000000	0.000000
gene:AT1G02820	-	1	-	623656	624567	27.329657	10.000819	17.949457
gene:AT1G02850	-	1	+	630374	633420	16.364300	6.074646	10.902766
gene:AT1G02880	-	1	-	642505	644903	0.000000	0.000000	0.000000
gene:AT1G02860	-	1	+	635144	637262	20.687250	7.933686	14.239370
gene:AT1G04147	-	1	-	636337	636614	5.006567	1.832067	3.288192
gene:AT1G02870	-	1	-	637214	638681	48.040142	17.579466	31.551607
gene:AT1G04153	-	1	+	637772	638231	0.423913	0.155124	0.278416
gene:AT1G02840	-	1	+	626639	629993	129.385849	59.630417	107.024597
gene:AT1G02900	-	1	-	653604	654457	23.429743	8.573712	15.388088
gene:AT1G01240	-	1	+	99865	101987	47.004711	17.257971	30.974586
gene:AT1G01250	-	1	-	104440	105330	2.295174	0.839880	1.507415
gene:AT1G01260	-	1	+	108946	111699	19.839506	7.495351	13.452646
gene:AT1G01270	-	1	-	111890	111961	0.000000	0.000000	0.000000
gene:AT1G01280	-	1	+	112263	113947	0.000000	0.000000	0.000000
gene:AT1G01290	-	1	+	114202	116407	25.061356	11.338866	20.350983
gene:AT1G01300	-	1	+	116784	118845	40.218235	14.717174	26.414366
gene:AT1G01305	-	1	+	119381	119997	0.000000	0.000000	0.000000
gene:AT1G01310	-	1	+	120154	121130	0.000000	0.000000	0.000000
gene:AT1G01320	-	1	-	121067	130577	173.774216	63.883949	114.658836
gene:AT1G01335	-	1	+	130736	130858	0.000000	0.000000	0.000000
gene:AT1G01340	-	1	-	132270	135924	7.475801	2.899405	5.203848
gene:AT1G01350	-	1	+	136090	138162	19.085077	6.983857	12.534618
gene:AT1G01355	-	1	+	138489	139680	0.275626	0.113098	0.202988
gene:AT1G01360	-	1	+	141870	143261	31.107718	11.383336	20.430798
gene:AT1G01370	-	1	+	143489	146479	6.844014	3.591904	6.446745
gene:AT1G01380	-	1	+	147043	148014	3.480093	1.375225	2.468252
gene:AT1G01390	-	1	-	148013	149848	3.320261	1.234272	2.215270
gene:AT1G01400	-	1	-	150689	152210	0.000000	0.000000	0.000000
gene:AT1G01410	-	1	+	153113	154198	0.000000	0.000000	0.000000
gene:AT1G01420	-	1	-	154367	156178	9.084437	3.700854	6.642289
gene:AT1G01430	-	1	-	156477	158823	58.174789	21.288067	38.207794
gene:AT1G01440	-	1	-	159628	162953	21.245230	7.774327	13.953354
gene:AT1G01448	-	1	+	163278	166353	20.662548	7.846042	14.082067
gene:AT1G01450	-	1	-	164105	165517	2.131040	0.779818	1.399616
gene:AT1G01453	-	1	-	166589	168088	0.733333	0.328593	0.589758
gene:AT1G01460	-	1	+	168559	171386	0.113228	0.041434	0.074365
gene:AT1G01470	-	1	-	171525	172948	179.289322	65.607857	117.752899
gene:AT1G01480	-	1	+	175706	178406	2.441489	0.922875	1.656374
gene:AT1G01490	-	1	-	180017	182749	48.788017	24.806248	44.522224
gene:AT1G01500	-	1	+	185033	187135	37.563454	13.745702	24.670769
gene:AT1G01510	-	1	+	187145	190472	45.406719	16.615810	29.822037
gene:AT1G01520	-	1	+	190408	192436	1.387280	0.550509	0.988053
gene:AT1G01530	-	1	-	192634	193670	0.000000	0.000000	0.000000
gene:AT1G01540	-	1	+	195645	198787	67.541985	25.603420	45.952988
gene:AT1G01550	-	1	+	199527	201775	278.581299	109.714523	196.915497
gene:AT1G01560	-	1	+	202103	204440	1.674242	0.685733	1.230753
gene:AT1G01570	-	1	+	204935	207642	1.954907	0.715365	1.283936
gene:AT1G01580	-	1	+	208995	213082	3.440351	1.258937	2.259539
gene:AT1G01590	-	1	+	214150	217734	0.179497	0.065684	0.117889
gene:AT1G01600	-	1	+	218834	221286	2.741713	1.003283	1.800691
gene:AT1G01610	-	1	-	221642	224351	65.769836	24.067345	43.196041
gene:AT1G01620	-	1	-	225665	227543	50.545513	18.496264	33.197071
gene:AT1G01630	-	1	+	228799	230979	70.169708	25.677402	46.085773
gene:AT1G01640	-	1	-	230908	232630	15.482238	5.665460	10.168360
gene:AT1G01650	-	1	-	232840	237905	34.566872	15.554265	27.916777
gene:AT1G04027	-	1	-	234006	234159	4.142857	1.516008	2.720928
gene:AT1G01660	-	1	-	239841	242703	1.338598	0.491049	0.881334
gene:AT1G01670	-	1	-	242713	246054	3.021264	1.208615	2.169222
gene:AT1G01680	-	1	-	246262	248440	5.910699	2.162919	3.882004
gene:AT1G01690	-	1	+	249041	252522	12.902852	4.933098	8.853919
gene:AT1G01695	-	1	+	252626	254530	1.673703	0.612463	1.099248
gene:AT1G04033	-	1	+	255022	255384	0.000000	0.000000	0.000000
gene:AT1G04037	-	1	-	258717	258963	2.437247	0.891869	1.600725
gene:AT1G01700	-	1	-	259307	261667	3.960152	1.775875	3.187338
gene:AT1G01710	-	1	+	262828	266324	74.662743	27.321550	49.036686
gene:AT1G01715	-	1	+	266333	267883	8.110860	2.968030	5.327017
gene:AT1G04043	-	1	-	267993	268336	0.000000	0.000000	0.000000
gene:AT1G01720	-	1	+	267993	269819	73.791031	27.002563	48.464169
gene:AT1G01725	-	1	-	269792	270859	23.038286	8.430466	15.130990
gene:AT1G04047	-	1	+	270067	270517	6.977746	2.553386	4.582815
gene:AT1G01730	-	1	+	270797	272189	38.007645	13.908246	24.962503
gene:AT1G01740	-	1	-	272111	274930	4.137259	1.620923	2.909231
gene:AT1G01750	-	1	+	275188	276310	11.624111	5.017138	9.004752
gene:AT1G04053	-	1	-	275473	276319	4.609618	1.686811	3.027486
gene:AT1G01760	-	1	-	276266	278599	10.857594	4.570795	8.203657
gene:AT1G04057	-	1	+	276543	276729	0.000000	0.000000	0.000000
gene:AT1G01770	-	1	+	278600	282891	37.425537	13.695234	24.580189
gene:AT1G01780	-	1	+	282761	284245	32.896698	12.037983	21.605757
gene:AT1G01790	-	1	+	284350	291203	177.507263	66.318405	119.028191
gene:AT1G04063	-	1	-	291594	292061	0.000000	0.000000	0.000000
gene:AT1G01800	-	1	+	293246	295086	137.156052	50.352329	90.372307
gene:AT1G01810	-	1	+	295207	295859	0.000000	0.000000	0.000000
gene:AT1G01820	-	1	-	296001	298334	148.282883	54.261581	97.388611
gene:AT1G01830	-	1	-	298451	302310	24.249073	10.028602	17.999321
gene:AT1G04067	-	1	-	303463	303977	0.105475	0.038597	0.069273
gene:AT1G01840	-	1	+	303537	304358	0.860740	0.314973	0.565313
gene:AT1G01860	-	1	-	304133	306310	31.401312	13.399910	24.050144
gene:AT1G04073	-	1	+	304481	304713	9.329116	3.413830	6.127138
gene:AT1G01870	-	1	+	306384	306456	0.000000	0.000000	0.000000
gene:AT1G01880	-	1	-	306467	309541	3.274415	1.353945	2.430059
gene:AT1G01890	-	1	-	309275	309347	0.000000	0.000000	0.000000
gene:AT1G01900	-	1	+	310169	313130	6.488963	2.374525	4.261794
gene:AT1G04077	-	1	-	311828	312884	0.000000	0.000000	0.000000
gene:AT1G01910	-	1	-	313101	316090	90.019356	38.813366	69.662178
gene:AT1G04083	-	1	+	314189	314463	1.029025	0.376554	0.675839
gene:AT1G01920	-	1	+	315983	319667	20.133909	8.733936	15.675658
gene:AT1G01930	-	1	-	319769	322895	23.808424	8.712285	15.636798
gene:AT1G01940	-	1	+	322886	324917	16.771950	6.137407	11.015411
gene:AT1G01950	-	1	+	325316	330619	20.768963	7.985268	14.331948
gene:AT1G01960	-	1	-	330588	337912	60.355934	22.086220	39.640320
gene:AT1G01970	-	1	+	338241	340088	73.674271	26.959837	48.387482
gene:AT1G01980	-	1	-	340108	342040	0.000000	0.000000	0.000000
gene:AT1G01990	-	1	-	342918	344400	25.035065	9.161153	16.442425
gene:AT1G02000	-	1	+	345516	347603	3.580939	1.310383	2.351874
gene:AT1G02010	-	1	+	347613	352545	19.075983	8.519337	15.290496
gene:AT1G02020	-	1	-	352612	355124	17.914444	7.131277	12.799207
gene:AT1G02030	-	1	-	355124	357258	0.492740	0.180310	0.323620
gene:AT1G02040	-	1	-	357906	359078	0.000000	0.000000	0.000000
gene:AT1G02050	-	1	-	359117	360746	14.185715	5.191019	9.316835
gene:AT1G02060	-	1	-	360918	363142	10.440451	3.820504	6.857036
gene:AT1G02065	-	1	+	365165	367443	2.509521	0.958378	1.720097
gene:AT1G02067	-	1	-	366945	367166	0.000000	0.000000	0.000000
gene:AT1G02070	-	1	-	370195	371090	0.752852	0.275493	0.494455
gene:AT1G02080	-	1	+	373335	386913	74.601776	27.909140	50.091290
gene:AT1G02090	-	1	-	387277	389808	50.932423	25.768461	46.249203
gene:AT1G02100	-	1	+	389812	392816	69.066200	26.763144	48.034458
gene:AT1G02110	-	1	+	392831	395528	28.006914	10.248651	18.394264
gene:AT1G02120	-	1	+	395689	400001	116.055534	44.206280	79.341377
gene:AT1G02130	-	1	-	399983	401919	36.390091	13.316331	23.900133
gene:AT1G04087	-	1	+	402086	402294	0.000000	0.000000	0.000000
gene:AT1G02140	-	1	-	403100	404456	31.816000	11.642520	20.895981
gene:AT1G02145	-	1	+	404600	408619	43.107300	16.270531	29.202328
gene:AT1G02150	-	1	+	408622	410680	194.772110	71.273514	127.921616
gene:AT1G02160	-	1	+	410744	411632	61.590759	25.407684	45.601681
gene:AT1G02170	-	1	+	411664	413554	17.900526	6.550391	11.756633
gene:AT1G02180	-	1	-	413522	414649	8.468910	3.099052	5.562176
gene:AT1G02890	-	1	-	645084	652001	37.536381	13.735795	24.652988
gene:AT1G02910	-	1	-	655568	658216	100.446678	37.880596	67.988045
gene:AT1G02940	-	1	-	662963	664290	1.621539	0.593374	1.064988
gene:AT1G02950	-	1	-	665119	666471	27.349205	10.467445	18.786959
gene:AT1G02952	-	1	+	665354	666367	0.285113	0.235970	0.423519
gene:AT1G02920	-	1	-	658578	659980	283.775757	103.842880	186.377060
gene:AT1G02930	-	1	-	661088	662475	389.010132	142.351593	255.492462
gene:AT1G02960	-	1	-	666807	669919	41.962833	16.133709	28.956758
gene:AT1G02965	-	1	-	671661	672814	0.000000	0.000000	0.000000
gene:AT1G02970	-	1	+	673306	676419	4.630469	1.694441	3.041180
gene:AT1G02980	-	1	+	677360	681378	0.180466	0.067227	0.120660
gene:AT1G02990	-	1	-	681331	687385	22.741899	8.758841	15.720355
gene:AT1G03010	-	1	+	693190	696504	0.945806	0.371325	0.666453
gene:AT1G03020	-	1	-	697919	698591	11.649331	4.262873	7.650999
gene:AT1G03000	-	1	-	687795	692660	40.191959	14.707559	26.397108
gene:AT1G03050	-	1	+	707485	710041	0.144872	0.053013	0.095148
gene:AT1G03055	-	1	-	710018	711857	21.010298	8.419386	15.111103
gene:AT1G03030	-	1	+	701365	703929	36.677982	14.822493	26.603394
gene:AT1G03040	-	1	-	703847	706689	89.044189	35.687992	64.052765
gene:AT1G03060	-	1	-	712440	727553	24.983999	9.181566	16.479063
gene:AT1G03070	-	1	+	729830	731565	2.761218	1.081594	1.941244
gene:AT1G03080	-	1	-	731554	738306	60.862495	23.061228	41.390263
gene:AT1G03110	-	1	+	749246	751976	20.855104	7.631567	13.697128
gene:AT1G03090	-	1	+	739544	744184	53.559067	19.599022	35.176304
gene:AT1G04157	-	1	-	742298	742522	1.191676	0.436073	0.782664
gene:AT1G03100	-	1	-	743885	746701	3.037736	1.111607	1.995112
gene:AT1G04163	-	1	+	744724	746147	0.745550	0.272821	0.489659
gene:AT1G03170	-	1	+	768376	770684	1.763534	0.645335	1.158247
gene:AT1G03180	-	1	+	773358	775362	5.169942	2.492892	4.474239
gene:AT1G03160	-	1	+	761261	766194	44.188354	16.501991	29.617754
gene:AT1G03165	-	1	+	766336	767324	1.684211	0.616308	1.106149
gene:AT1G04173	-	1	-	767037	767385	0.000000	0.000000	0.000000
gene:AT1G03190	-	1	+	775527	780062	14.444063	5.621512	10.089484
gene:AT1G03200	-	1	+	780519	782946	8.258224	3.021955	5.423802
gene:AT1G03210	-	1	+	782904	784346	46.748779	18.124916	32.530579
gene:AT1G03240	-	1	-	792222	793060	0.000000	0.000000	0.000000
gene:AT1G03220	-	1	+	786832	788722	167.973557	61.467041	110.320969
gene:AT1G03230	-	1	+	789820	791689	50.502140	18.480392	33.168587
gene:AT1G03120	-	1	+	752191	753140	0.785609	0.311246	0.558625
gene:AT1G03130	-	1	-	753307	754262	3161.090820	1156.747070	2076.128174
gene:AT1G03140	-	1	-	754261	756303	91.391609	33.443192	60.023800
gene:AT1G03150	-	1	+	756414	758678	68.047592	24.900850	44.692017
gene:AT1G03270	-	1	+	799115	802625	6.399150	2.341659	4.202807
gene:AT1G03250	-	1	-	793315	795403	65.503433	28.145697	50.515862
gene:AT1G03260	-	1	-	795449	798491	16.203049	5.929228	10.641771
gene:AT1G03280	-	1	+	802970	807066	43.797001	16.151535	28.988756
gene:AT1G03290	-	1	+	807361	813216	20.343138	10.906620	19.575188
gene:AT1G03300	-	1	-	811033	813086	0.000000	0.000000	0.000000
gene:AT1G03320	-	1	+	816989	817767	0.000000	0.000000	0.000000
gene:AT1G03325	-	1	-	817053	817178	0.000000	0.000000	0.000000
gene:AT1G03310	-	1	+	813413	816812	105.125816	38.623497	69.321396
gene:AT1G03330	-	1	-	817934	819563	92.802582	33.959515	60.950497
gene:AT1G03340	-	1	+	819612	821476	8.310551	3.041104	5.458169
gene:AT1G03350	-	1	-	822582	824410	57.397484	21.003626	37.697281
gene:AT1G03360	-	1	+	824517	826399	17.679623	6.469555	11.611548
gene:AT1G03365	-	1	+	826523	830393	25.043205	10.312487	18.508839
gene:AT1G03370	-	1	+	830550	835411	29.222038	11.167016	20.042545
gene:AT1G03400	-	1	-	842659	844251	2.953710	1.132512	2.032632
gene:AT1G03380	-	1	+	835767	841373	49.250980	18.022552	32.346855
gene:AT1G03390	-	1	-	841033	842418	0.000112	0.000041	0.000074
gene:AT1G03395	-	1	+	841677	842158	0.000000	0.000000	0.000000
gene:AT1G03410	-	1	-	844436	847683	3.765460	1.377905	2.473063
gene:AT1G04183	-	1	+	845677	847683	0.000000	0.000000	0.000000
gene:AT1G03430	-	1	+	847793	849621	61.746258	24.075491	43.210663
gene:AT1G03445	-	1	-	854410	859701	0.409574	0.159366	0.286029
gene:AT1G03440	-	1	+	852151	854297	35.089893	12.840545	23.046194
gene:AT1G03457	-	1	-	860761	864372	8.251077	4.071918	7.308274
gene:AT1G03470	-	1	-	865895	867733	9.595481	3.544891	6.362365
gene:AT1G03510	-	1	-	876087	877556	1.762585	0.644988	1.157623
gene:AT1G03495	-	1	+	873166	874476	6.855072	2.508496	4.502246
gene:AT1G04187	-	1	-	875056	875189	0.828358	0.303123	0.544046
gene:AT1G04193	-	1	-	875224	875340	1.286325	0.470709	0.844827
gene:AT1G03502	-	1	-	875358	875471	6.232456	2.280661	4.093327
gene:AT1G03506	-	1	-	875518	875604	0.000000	0.000000	0.000000
